Time (s), X Position (pixels), Y Position (pixels)
1.9,236.838079130,170.733300505
1.93333333333,233.020456995,170.691894805
1.96666666667,229.634015231,172.376351885
2.0,233.760973490,169.711799218
2.03333333333,234.791441104,171.290103777
2.06666666667,233.083711679,170.459571064
2.1,232.328172238,170.494104690
2.13333333333,235.912216802,169.701289973
2.16666666667,236.512387992,170.314760298
2.2,235.107644708,170.764427829
2.23333333333,236.568701149,171.115042925
2.26666666667,233.518574694,171.521138194
2.3,232.455518626,170.435598049
2.33333333333,234.714764586,168.793681397
2.36666666667,234.997777635,171.452828173
2.4,238.103748873,170.361274531
2.43333333333,235.945183007,171.406941071
2.46666666667,232.025493191,171.016177958
2.5,230.422131148,171.052674720
2.53333333333,232.370888870,170.366171889
2.56666666667,235.159661728,172.126555181
2.6,234.677990107,169.178415009
2.63333333333,234.323745606,171.926856291
2.66666666667,232.792603166,172.092162168
2.7,236.901925926,171.991640212
2.73333333333,237.033498066,170.396347228
2.76666666667,237.267497338,171.394419595
2.8,238.411987489,171.136811422
2.83333333333,236.542415796,171.317985489
2.86666666667,234.932779245,170.654790284
2.9,237.405118775,170.814706323
2.93333333333,238.753034176,170.036238266
2.96666666667,239.985593202,169.353980201
3.0,238.033860732,168.938233504
3.03333333333,239.838137991,170.842541965
3.06666666667,238.903288532,170.534883224
3.1,237.854557083,170.995714743
3.13333333333,239.960527162,170.209236044
3.16666666667,241.999315010,170.025494477
3.2,242.520258686,168.360771718
3.23333333333,241.692873534,169.766175556
3.26666666667,242.004573627,170.094827955
3.3,240.334158311,171.386745357
3.33333333333,240.207229687,170.484047771
3.36666666667,240.967517303,170.883401979
3.4,242.120387523,170.440753753
3.43333333333,240.548058037,171.556505945
3.46666666667,241.438400684,170.104896301
3.5,240.631089942,170.326470023
3.53333333333,241.632124685,170.011972463
3.56666666667,242.695310493,169.659807281
3.6,241.865889898,170.056461785
3.63333333333,241.514969550,170.515012137
3.66666666667,241.426134901,169.706856603
3.7,241.280541059,170.432484823
3.73333333333,241.547154472,169.911168164
3.76666666667,240.924893707,170.695833333
3.8,240.571599709,170.200616095
3.83333333333,240.256738101,170.918399422
3.86666666667,240.509989507,169.985845521
3.9,239.871782923,171.224935923
3.93333333333,239.545555271,170.732570528
3.96666666667,238.874989384,171.279575372
4.0,239.752484192,169.662881232
4.03333333333,239.652249835,170.809599864
4.06666666667,238.433273811,169.835330565
4.1,239.286056612,170.465521299
4.13333333333,237.182217130,169.699424964
4.16666666667,238.866439457,170.310655263
4.2,238.219504310,169.797887931
4.23333333333,237.553296575,171.188704149
4.26666666667,237.724538326,170.447212820
4.3,237.877281148,171.071080258
4.33333333333,238.330081266,170.229238587
4.36666666667,238.535886186,170.973591174
4.4,238.744528058,169.969683939
4.43333333333,238.881726374,171.095779738
4.46666666667,239.056355760,170.648379318
4.5,237.060077027,171.872672253
4.53333333333,238.245741211,170.792998316
4.56666666667,237.969068452,171.566979513
4.6,238.045452603,170.633857595
4.63333333333,238.736494828,170.989847176
4.66666666667,237.165687074,170.378566219
4.7,237.374682580,171.898743017
4.73333333333,238.831528330,171.107406541
4.76666666667,237.396860751,172.796095900
4.8,235.583155718,172.617553337
4.83333333333,235.426112660,173.303326974
4.86666666667,237.071120463,172.610752236
4.9,235.455741477,173.587052918
4.93333333333,237.180426784,172.761295070
4.96666666667,235.228302485,172.376393443
5.0,236.602705793,171.978954946
5.03333333333,236.950682917,172.737781046
5.06666666667,235.960283388,172.206746325
5.1,237.175797649,172.725335852
5.13333333333,236.218567807,172.329657795
5.16666666667,235.902914864,172.959511109
5.2,236.635570981,171.947578938
5.23333333333,236.321000838,173.163274707
5.26666666667,234.908428457,172.848342530
5.3,235.944581818,174.199833766
5.33333333333,233.077770714,172.525174825
5.36666666667,233.700393256,173.736978622
5.4,232.039179262,173.043211180
5.43333333333,236.065555182,172.936607593
5.46666666667,236.014810073,171.181562100
5.5,237.860889011,172.170903567
5.53333333333,235.998431040,171.985094880
5.56666666667,234.192654925,172.548153160
5.6,233.672936035,171.205303972
5.63333333333,233.408718474,171.686254428
5.66666666667,234.539437897,170.193476665
5.7,235.860154739,170.499914034
5.73333333333,236.398780039,169.775994463
5.76666666667,237.302032686,170.631182128
5.8,236.049761653,169.944349777
5.83333333333,235.931629952,171.097634904
5.86666666667,236.839014418,170.072455348
5.9,236.104286139,171.624038911
5.93333333333,235.927083777,171.365475531
5.96666666667,236.165446093,171.722388503
6.0,239.639339390,171.186252866
6.03333333333,237.642545972,172.902106983
6.06666666667,239.235896024,171.379255556
6.1,238.574815751,172.101789850
6.13333333333,239.417656070,170.776905400
6.16666666667,238.556231835,172.049934712
6.2,238.249260811,171.038607985
6.23333333333,238.715386076,171.897165889
6.26666666667,239.768632382,170.679248098
6.3,239.728970383,171.627233935
6.33333333333,240.557971785,170.655765262
6.36666666667,239.832462394,171.390653098
6.4,239.320742284,171.012137573
6.43333333333,238.233742370,171.855492428
6.46666666667,238.424991527,171.495170310
6.5,238.629891362,171.970403966
6.53333333333,234.727295864,171.997773065
6.56666666667,237.135147660,172.293992501
6.6,238.259612135,171.833974142
6.63333333333,237.646948574,172.267384071
6.66666666667,238.209842095,171.745724734
6.7,237.688890764,172.076142667
6.73333333333,237.735668386,171.890779572
6.76666666667,238.284257663,172.370769037
6.8,237.047792953,172.113930464
6.83333333333,238.561764274,172.512285708
6.86666666667,238.639265931,171.690092604
6.9,238.524835378,172.208507774
6.93333333333,239.140409652,171.172214919
6.96666666667,238.159301369,171.933912713
7.0,237.217091149,171.481381566
7.03333333333,237.469579506,172.325650965
7.06666666667,237.765897305,171.297628156
7.1,237.599130964,172.662860262
7.13333333333,236.813595934,171.771791614
7.16666666667,237.640083000,172.854687598
7.2,238.748565280,171.986074774
7.23333333333,238.216143216,172.824288107
7.26666666667,238.272677492,172.154124808
7.3,237.400622610,173.175417337
7.33333333333,236.017751230,172.700374374
7.36666666667,236.912127203,172.535418332
7.4,237.331590423,171.774296662
7.43333333333,237.584086647,172.312598774
7.46666666667,237.214825766,172.099028511
7.5,238.272677295,171.758806614
7.53333333333,238.346831471,171.435834376
7.56666666667,237.819169544,172.309925882
7.6,237.042514995,172.087226493
7.63333333333,237.405357255,172.843914401
7.66666666667,236.957523990,172.164947801
7.7,238.257577982,172.554404145
7.73333333333,235.455379166,172.482217022
7.76666666667,237.647635983,173.007029289
7.8,238.233411676,172.645612121
